side,entry_time,exit_time,entry_price,exit_price,pnl_pct,duration_bars
LONG,2025-10-29 10:10:00+05:30,2025-10-29 10:15:00+05:30,25997.8,25998.2,1.5385917269978814e-05,1
SHORT,2025-10-29 14:05:00+05:30,2025-10-29 14:15:00+05:30,26046.0,26053.15,-0.0002745143208170719,2
LONG,2025-10-30 09:15:00+05:30,2025-10-30 09:20:00+05:30,25984.4,25982.05,-9.04388787119265e-05,1
SHORT,2025-10-30 09:25:00+05:30,2025-10-30 09:30:00+05:30,25983.25,25978.85,0.00016933986318114382,1
LONG,2025-10-30 11:20:00+05:30,2025-10-30 11:25:00+05:30,25954.65,25970.9,0.0006260920490162649,1
SHORT,2025-10-30 13:30:00+05:30,2025-10-30 13:50:00+05:30,25896.3,25866.45,0.0011526743202696348,3
LONG,2025-10-30 14:50:00+05:30,2025-10-30 15:05:00+05:30,25881.45,25863.55,-0.0006916150370246434,3
LONG,2025-10-31 09:25:00+05:30,2025-10-31 09:30:00+05:30,25895.8,25914.9,0.0007375713436156514,1
SHORT,2025-10-31 10:15:00+05:30,2025-10-31 10:20:00+05:30,25876.8,25859.15,0.0006820781549495231,1
SHORT,2025-10-31 12:30:00+05:30,2025-10-31 12:35:00+05:30,25786.9,25791.9,-0.00019389690113972598,1
SHORT,2025-10-31 13:30:00+05:30,2025-10-31 13:40:00+05:30,25776.6,25762.25,0.0005567064702093583,2
SHORT,2025-11-03 11:50:00+05:30,2025-11-03 11:55:00+05:30,25727.45,25722.6,0.00018851460210795017,1
LONG,2025-11-03 12:55:00+05:30,2025-11-03 13:00:00+05:30,25737.25,25754.35,0.000664406647951842,1
SHORT,2025-11-04 09:30:00+05:30,2025-11-04 09:50:00+05:30,25729.85,25692.05,0.0014691107798918096,4
LONG,2025-11-04 13:45:00+05:30,2025-11-04 14:00:00+05:30,25673.95,25656.95,-0.0006621497665922073,3
LONG,2025-11-06 09:40:00+05:30,2025-11-06 09:45:00+05:30,25629.3,25610.05,-0.0007510934750461386,1
SHORT,2025-11-06 09:55:00+05:30,2025-11-06 10:05:00+05:30,25631.05,25613.8,0.0006730118352545058,2
SHORT,2025-11-06 10:10:00+05:30,2025-11-06 10:25:00+05:30,25571.2,25540.5,0.0012005693905644133,3
LONG,2025-11-06 12:05:00+05:30,2025-11-06 12:10:00+05:30,25564.55,25554.8,-0.00038138750730992726,1
LONG,2025-11-06 12:40:00+05:30,2025-11-06 12:45:00+05:30,25562.55,25561.1,-5.672360543062909e-05,1
SHORT,2025-11-06 13:55:00+05:30,2025-11-06 14:25:00+05:30,25519.2,25541.6,-0.0008777704630238337,6
LONG,2025-11-07 11:20:00+05:30,2025-11-07 11:25:00+05:30,25415.4,25430.6,0.0005980625919716821,1
SHORT,2025-11-07 14:10:00+05:30,2025-11-07 14:15:00+05:30,25473.2,25474.95,-6.869965296861015e-05,1
LONG,2025-11-07 14:35:00+05:30,2025-11-07 14:45:00+05:30,25518.1,25512.85,-0.0002057363204940807,2
LONG,2025-11-10 09:20:00+05:30,2025-11-10 10:35:00+05:30,25551.65,25618.15,0.0026025716538853653,15
SHORT,2025-11-10 13:50:00+05:30,2025-11-10 13:55:00+05:30,25612.65,25606.85,0.00022645060155832803,1
LONG,2025-11-10 14:30:00+05:30,2025-11-10 14:35:00+05:30,25636.9,25627.75,-0.00035690742640496527,1
SHORT,2025-11-10 14:50:00+05:30,2025-11-10 14:55:00+05:30,25604.85,25606.0,-4.491336602250961e-05,1
LONG,2025-11-11 11:55:00+05:30,2025-11-11 12:05:00+05:30,25530.2,25542.4,0.0004778654299614076,2
SHORT,2025-11-12 14:15:00+05:30,2025-11-12 14:25:00+05:30,25893.2,25881.75,0.00044220104120003425,2
SHORT,2025-11-13 12:45:00+05:30,2025-11-13 12:50:00+05:30,25949.9,25951.8,-7.321800854715498e-05,1
